model_name,num_layers,num_neurons,num_epochs,learning_rate,batch_size,train_loss,train_mae,train_rmse,training_r2,val_loss,val_mae,val_rmse,val_r2,training_time
model 140,2,64,100,0.0005,32,0.1638069599866867,0.31576499342918396,0.40473073720932007,0.925726592540741,0.020101865753531456,0.10727555304765701,0.1417810469865799,0.9911372661590576,21.944363832473755
model 141,2,64,100,0.0005,64,0.13486376404762268,0.2848298251628876,0.36723801493644714,0.938849925994873,0.020844703540205956,0.11352169513702393,0.1443769484758377,0.9908097982406616,14.998414993286133
model 142,2,64,100,0.001,128,0.13542796671390533,0.28402823209762573,0.3680053949356079,0.9385944604873657,0.02257114090025425,0.11256461590528488,0.15023694932460785,0.9900486469268799,9.98506212234497
model 143,2,64,100,0.001,32,0.15248548984527588,0.30497249960899353,0.39049389958381653,0.9308599829673767,0.02112068422138691,0.11005799472332001,0.1453295648097992,0.9906880855560303,22.004114866256714
model 144,2,64,100,0.001,64,0.1283203363418579,0.27873650193214417,0.3582182824611664,0.941817045211792,0.016962658613920212,0.10019099712371826,0.1302407681941986,0.992521345615387,14.371960401535034
model 145,2,64,250,0.0001,128,0.1432875096797943,0.2959217429161072,0.37853336334228516,0.9350303411483765,0.023979954421520233,0.11861004680395126,0.15485462546348572,0.9894275069236755,23.496910095214844
model 146,2,64,250,0.0001,32,0.18668945133686066,0.3379669487476349,0.43207573890686035,0.9153515696525574,0.020722312852740288,0.10930486023426056,0.14395247399806976,0.9908637404441833,53.04813838005066
model 147,2,64,250,0.0001,64,0.14381536841392517,0.294949471950531,0.37922996282577515,0.9347913265228271,0.02161628007888794,0.11371000111103058,0.14702476561069489,0.9904696345329285,35.24779486656189
model 148,2,64,250,0.0005,128,0.10849052667617798,0.2531823217868805,0.32937899231910706,0.9508081674575806,0.013430057093501091,0.0871320366859436,0.11588812619447708,0.9940788149833679,23.66218400001526
model 149,2,64,250,0.0005,32,0.1292012333869934,0.28036317229270935,0.359445720911026,0.9414175748825073,0.015876416116952896,0.09404456615447998,0.12600165605545044,0.9930002689361572,55.023414850234985
model 150,2,64,250,0.0005,64,0.11033044755458832,0.2593064308166504,0.33216026425361633,0.9499737620353699,0.014458643272519112,0.08984705805778503,0.120244100689888,0.9936253428459167,35.59837555885315
model 151,2,64,250,0.001,128,0.09145385771989822,0.2308626025915146,0.30241337418556213,0.9585328102111816,0.013416030444204807,0.08901754021644592,0.11582759022712708,0.9940850138664246,23.796390295028687
model 152,2,64,250,0.001,32,0.13151946663856506,0.28604987263679504,0.3626561164855957,0.9403659105300903,0.01741410419344902,0.09607187658548355,0.13196250796318054,0.9923222661018372,55.617857933044434
model 153,2,64,250,0.001,64,0.09790944308042526,0.24222300946712494,0.31290483474731445,0.9556055665016174,0.013235684484243393,0.08580610156059265,0.1150464415550232,0.9941645264625549,36.03102946281433
model 154,2,64,500,0.0001,128,0.12027211487293243,0.2675530016422272,0.3468027114868164,0.9454661011695862,0.018714826554059982,0.10341887176036835,0.13680213689804077,0.9917488098144531,47.25239086151123
model 155,2,64,500,0.0001,32,0.1691291332244873,0.32428696751594543,0.4112531244754791,0.9233131408691406,0.017026279121637344,0.09857740253210068,0.13048478960990906,0.9924932718276978,109.91400980949402
model 156,2,64,500,0.0001,64,0.12724606692790985,0.2771016061306,0.35671567916870117,0.9423041343688965,0.01724390871822834,0.09869024902582169,0.13131606578826904,0.9923973679542542,70.68640851974487
model 157,2,64,500,0.0005,128,0.08163058757781982,0.22078855335712433,0.2857106626033783,0.9629868865013123,0.013911065645515919,0.08886546641588211,0.11794517934322357,0.9938667416572571,49.833744049072266
model 158,2,64,500,0.0005,32,0.12704922258853912,0.28053101897239685,0.35643965005874634,0.9423928260803223,0.013882014900445938,0.09041759371757507,0.11782196164131165,0.9938795566558838,105.8017168045044
model 159,2,64,500,0.0005,64,0.0959836021065712,0.24145017564296722,0.3098122179508209,0.9564790725708008,0.011546905152499676,0.07958769798278809,0.10745652765035629,0.9949091076850891,71.44655561447144
model 160,2,64,500,0.001,128,0.06853444874286652,0.20267456769943237,0.26179084181785583,0.9689250588417053,0.02119891531765461,0.10607168823480606,0.14559847116470337,0.9906536340713501,49.40399622917175
model 161,2,64,500,0.001,32,0.124254010617733,0.27657845616340637,0.35249683260917664,0.9436608552932739,0.015527796000242233,0.08854148536920547,0.12461058050394058,0.9931539297103882,107.97890400886536
model 162,2,64,500,0.001,64,0.08067138493061066,0.22047749161720276,0.284027099609375,0.9634220600128174,0.015082227066159248,0.09145408123731613,0.12280971556901932,0.9933503866195679,72.31554174423218
