model_name,num_layers,num_neurons,num_epochs,learning_rate,batch_size,train_loss,train_mae,train_rmse,training_r2,val_loss,val_mae,val_rmse,val_r2,training_time
model 15,1,16,250,0.0005,64,0.17147621512413025,0.3239564299583435,0.414096862077713,0.9222487807273865,0.0700511708855629,0.20987071096897125,0.26467180252075195,0.9691151976585388,28.22788381576538
model 16,1,16,250,0.001,128,0.13968230783939362,0.28750985860824585,0.3737409710884094,0.9366654753684998,0.0601293183863163,0.1940273493528366,0.24521280825138092,0.9734896421432495,19.08482813835144
model 17,1,16,250,0.001,32,0.20716330409049988,0.35547512769699097,0.4551519453525543,0.9060679078102112,0.0740448608994484,0.2134096473455429,0.2721118628978729,0.9673543572425842,46.8049521446228
model 18,1,16,250,0.001,64,0.1710537075996399,0.3187551498413086,0.41358640789985657,0.9224408268928528,0.06815250217914581,0.2066808044910431,0.26106032729148865,0.9699522852897644,28.085946798324585
model 19,1,16,500,0.0001,128,0.23964263498783112,0.3752804696559906,0.48953306674957275,0.8913412094116211,0.06953476369380951,0.21302026510238647,0.2636944651603699,0.969342827796936,37.48345327377319
model 20,1,16,500,0.0001,32,0.23454032838344574,0.37456774711608887,0.4842936396598816,0.8936554193496704,0.07207203656435013,0.2184378057718277,0.2684623599052429,0.9682241678237915,90.98390865325928
model 21,1,16,500,0.0001,64,0.22012630105018616,0.3608873188495636,0.46917620301246643,0.9001900553703308,0.06820528954267502,0.21130309998989105,0.2611614167690277,0.9699289798736572,55.614150285720825
model 22,1,16,500,0.0005,128,0.15029063820838928,0.3003375232219696,0.38767337799072266,0.931855320930481,0.06922556459903717,0.21268491446971893,0.2631075084209442,0.9694792032241821,36.493963956832886
model 23,1,16,500,0.0005,32,0.19255560636520386,0.340736985206604,0.4388115704059601,0.9126911163330078,0.06939762085676193,0.21696320176124573,0.2634342908859253,0.9694032669067383,91.32022881507874
model 24,1,16,500,0.0005,64,0.1596764326095581,0.3102472722530365,0.39959535002708435,0.9275993704795837,0.06641346216201782,0.20490363240242004,0.2577081024646759,0.9707189798355103,56.53512215614319
model 25,1,16,500,0.001,128,0.13866697251796722,0.2892279028892517,0.3723801374435425,0.9371249675750732,0.07098672538995743,0.21218477189540863,0.26643332839012146,0.9687026739120483,36.78656530380249
model 26,1,16,500,0.001,32,0.20198489725589752,0.352610319852829,0.4494273066520691,0.908414900302887,0.07205284386873245,0.2198563814163208,0.2684265971183777,0.9682326316833496,88.46059823036194
model 27,1,16,500,0.001,64,0.1642003208398819,0.3149423897266388,0.40521639585494995,0.9255481958389282,0.06765899807214737,0.20834819972515106,0.2601134479045868,0.9701698422431946,53.43086051940918
model 28,1,32,100,0.0001,128,0.4262872338294983,0.5075276494026184,0.6529067754745483,0.8067121505737305,0.05769427865743637,0.193858802318573,0.2401963323354721,0.9745631814002991,7.813518285751343
model 29,1,32,100,0.0001,32,0.2698262631893158,0.40651777386665344,0.5194480419158936,0.8776547312736511,0.05227457359433174,0.18490974605083466,0.22863633930683136,0.9769526720046997,18.583677530288696
model 30,1,32,100,0.0001,64,0.2863118350505829,0.4177852272987366,0.535081148147583,0.8701794147491455,0.06102091073989868,0.1994226723909378,0.24702410399913788,0.973096489906311,12.14698839187622
model 31,1,32,100,0.0005,128,0.1976272314786911,0.34783968329429626,0.44455283880233765,0.9103915691375732,0.054730989038944244,0.18866699934005737,0.2339465469121933,0.9758696556091309,7.848218202590942
model 32,1,32,100,0.0005,32,0.2169167548418045,0.3655000925064087,0.46574321389198303,0.9016454219818115,0.06777237355709076,0.21208073198795319,0.26033127307891846,0.970119833946228,19.19991421699524
model 33,1,32,100,0.0005,64,0.18959257006645203,0.33852893114089966,0.43542230129241943,0.9140349626541138,0.05190880969166756,0.18288442492485046,0.2278350442647934,0.9771139621734619,12.098986864089966
model 34,1,32,100,0.001,128,0.18262872099876404,0.33170756697654724,0.42735081911087036,0.9171922206878662,0.05305366590619087,0.1818406581878662,0.2303338199853897,0.9766091704368591,7.850374698638916
model 35,1,32,100,0.001,32,0.18137259781360626,0.3325980305671692,0.4258786141872406,0.9177616834640503,0.05373132973909378,0.18765224516391754,0.23180019855499268,0.9763103723526001,18.066648244857788
model 36,1,32,100,0.001,64,0.16649453341960907,0.32002103328704834,0.4080374240875244,0.9245074987411499,0.05532040446996689,0.18954716622829437,0.23520289361476898,0.9756098389625549,11.99974274635315
model 37,1,32,250,0.0001,128,0.21433256566524506,0.361662358045578,0.4629606604576111,0.9028171896934509,0.053992822766304016,0.18733888864517212,0.23236355185508728,0.9761951565742493,19.03076171875
model 38,1,32,250,0.0001,32,0.22640199959278107,0.3740873634815216,0.4758172035217285,0.8973450660705566,0.05997053533792496,0.19808384776115417,0.24488882720470428,0.973559558391571,47.31676125526428
model 39,1,32,250,0.0001,64,0.20739418268203735,0.3552054166793823,0.45540550351142883,0.9059628248214722,0.049888040870428085,0.1785169541835785,0.22335630655288696,0.9780048727989197,29.884884119033813
model 40,1,32,250,0.0005,128,0.14885295927524567,0.3001505434513092,0.3858146667480469,0.9325071573257446,0.057514529675245285,0.19297201931476593,0.23982186615467072,0.9746424555778503,18.748225688934326
model 41,1,32,250,0.0005,32,0.1722882091999054,0.32564887404441833,0.4150761365890503,0.9218813180923462,0.05333994701504707,0.18729864060878754,0.23095442354679108,0.9764829277992249,47.364569425582886
model 42,1,32,250,0.0005,64,0.14745371043682098,0.30110225081443787,0.38399702310562134,0.93314129114151,0.049458812922239304,0.17677702009677887,0.22239337861537933,0.9781941175460815,29.614617586135864
model 43,1,32,250,0.001,128,0.1250307261943817,0.2760310173034668,0.35359683632850647,0.9433084726333618,0.05208691954612732,0.18189965188503265,0.22822558879852295,0.977035403251648,18.762844562530518
