model_name,MF_type,MF_num,learning_rate,batch_size,num_epochs,train_MSE,train_MAE,train_RMSE,train_R2,val_MSE,val_MAE,val_RMSE,val_R2,training_time
model 19,Gaussian,3,0.001,128,250,0.1004379466176033,0.2564355134963989,0.3169194757938385,0.9590051174163818,0.09773890674114227,0.24894589185714722,0.3126322329044342,0.9604102969169617,30.060165882110596
model 20,Gaussian,4,0.001,128,250,0.09851042181253433,0.2540159821510315,0.31386369466781616,0.959791898727417,0.09557569026947021,0.2465551793575287,0.30915316939353943,0.9612865447998047,101.20057487487793
model 21,Gaussian,5,0.001,128,250,0.0938064381480217,0.24817776679992676,0.30627837777137756,0.9617120027542114,0.09068474918603897,0.24266067147254944,0.30113908648490906,0.9632676243782043,245.70169019699097
model 22,Generalized Bell,3,0.001,128,250,0.09665589034557343,0.25091978907585144,0.31089529395103455,0.9605488777160645,0.09225422143936157,0.2437061220407486,0.30373379588127136,0.9626319408416748,31.74036955833435
model 23,Generalized Bell,4,0.001,128,250,0.098406583070755,0.2536800801753998,0.3136982321739197,0.9598343372344971,0.09557746350765228,0.2467668205499649,0.30915606021881104,0.9612858295440674,104.07923674583435
model 24,Generalized Bell,5,0.001,128,250,0.097272589802742,0.25128206610679626,0.3118855357170105,0.9602972269058228,0.09300399571657181,0.2436712384223938,0.3049655556678772,0.9623281955718994,237.35036969184875
model 25,Smoothed Triangular,3,0.001,128,250,7.580735683441162,2.7160041332244873,2.7533135414123535,-2.0941457748413086,7.577503204345703,2.7169973850250244,2.7527265548706055,-2.069310188293457,33.71686053276062
model 26,Smoothed Triangular,4,0.001,128,250,6.2211151123046875,2.456719398498535,2.4942164421081543,-1.539210557937622,6.188477516174316,2.4495787620544434,2.4876651763916016,-1.5066773891448975,104.64775562286377
model 27,Smoothed Triangular,5,0.001,128,250,0.10462071746587753,0.2615869343280792,0.3234512507915497,0.9572979211807251,0.10093725472688675,0.2547141909599304,0.31770622730255127,0.9591147899627686,256.25896310806274
model 28,Gaussian,3,0.0001,32,250,0.10409065335988998,0.25902053713798523,0.3226308226585388,0.9575141072273254,0.10240833461284637,0.25418615341186523,0.32001301646232605,0.9585189819335938,58.16636347770691
model 29,Gaussian,4,0.0001,32,250,0.10354874283075333,0.2602488696575165,0.3217898905277252,0.9577357769012451,0.10038815438747406,0.2533724904060364,0.31684088706970215,0.9593372941017151,101.67378878593445
model 30,Gaussian,5,0.0001,32,250,0.10150241106748581,0.25597167015075684,0.31859442591667175,0.9585708379745483,0.09578637778759003,0.24640609323978424,0.309493750333786,0.9612012505531311,191.79949975013733
model 31,Generalized Bell,3,0.0001,32,250,0.10590028017759323,0.263135701417923,0.3254232406616211,0.9567756652832031,0.10271608829498291,0.25639572739601135,0.32049351930618286,0.9583943486213684,62.414809465408325
model 32,Generalized Bell,4,0.0001,32,250,0.09722277522087097,0.2514726221561432,0.3118056654930115,0.9603174328804016,0.0935884639620781,0.2437724620103836,0.30592232942581177,0.9620915055274963,108.41977977752686
model 33,Generalized Bell,5,0.0001,32,250,0.09634814411401749,0.2496761828660965,0.31039997935295105,0.9606743454933167,0.09160546958446503,0.2428109496831894,0.3026639521121979,0.9628947377204895,201.65143275260925
