model_name,MF_type,MF_num,learning_rate,batch_size,num_epochs,train_MSE,train_MAE,train_RMSE,val_MSE,val_MAE,val_RMSE,training_time
model 69,Smoothed Triangular,2,0.001,32,100,10.898754119873047,3.2326269149780273,3.301326036453247,10.71534252166748,3.2075412273406982,3.2734298706054688,18.371121644973755
model 70,Smoothed Triangular,3,0.001,32,100,4.624391078948975,2.108133554458618,2.150439739227295,4.449369430541992,2.0707027912139893,2.1093528270721436,28.77946376800537
model 71,Smoothed Triangular,4,0.001,32,100,0.49615174531936646,0.6221514940261841,0.7043803930282593,0.45366641879081726,0.5916414260864258,0.673547625541687,49.36651968955994
model 72,Smoothed Triangular,5,0.001,32,100,0.10383310168981552,0.2610093951225281,0.3222314417362213,0.09996719658374786,0.2527640163898468,0.3161759078502655,91.76941013336182
model 73,Gaussian,2,0.0001,64,100,7.771486759185791,2.7500901222229004,2.787738561630249,7.647402286529541,2.729135274887085,2.7653937339782715,10.401672601699829
model 74,Gaussian,3,0.0001,64,100,6.9329705238342285,2.606410264968872,2.6330535411834717,6.812634468078613,2.584688663482666,2.610102415084839,16.38655710220337
model 75,Gaussian,4,0.0001,64,100,8.957143783569336,2.966221570968628,2.9928488731384277,8.834226608276367,2.9465408325195312,2.972242593765259,37.58230638504028
model 76,Gaussian,5,0.0001,64,100,9.740257263183594,3.0927507877349854,3.120938539505005,9.609987258911133,3.072721004486084,3.0999979972839355,93.05045652389526
model 77,Generalized Bell,2,0.0001,64,100,6.658025741577148,2.481252670288086,2.580315113067627,6.497586727142334,2.4521431922912598,2.5490365028381348,10.892968893051147
model 78,Generalized Bell,3,0.0001,64,100,7.8622517585754395,2.7479941844940186,2.8039708137512207,7.73875617980957,2.7287089824676514,2.7818620204925537,17.309854745864868
model 79,Generalized Bell,4,0.0001,64,100,8.44691276550293,2.8399078845977783,2.9063572883605957,8.291762351989746,2.8136980533599854,2.879542112350464,39.47092795372009
model 80,Generalized Bell,5,0.0001,64,100,7.463149070739746,2.6964921951293945,2.7318763732910156,7.367851257324219,2.679486036300659,2.714378595352173,89.30842351913452
model 81,Smoothed Triangular,2,0.0001,64,100,20.56549644470215,4.256308555603027,4.534919738769531,20.336109161376953,4.231236457824707,4.509557723999023,11.699679374694824
model 82,Smoothed Triangular,3,0.0001,64,100,20.535846710205078,4.252323627471924,4.531649589538574,20.307430267333984,4.2272629737854,4.50637674331665,18.683255910873413
model 83,Smoothed Triangular,4,0.0001,64,100,18.99195671081543,3.881906509399414,4.35797643661499,18.918527603149414,3.8862197399139404,4.349543571472168,41.48239088058472
model 84,Smoothed Triangular,5,0.0001,64,100,20.08027458190918,4.19330358505249,4.481101989746094,19.841350555419922,4.167552471160889,4.454362869262695,95.59152340888977
model 85,Gaussian,2,0.0005,64,100,0.10519769042730331,0.2620965242385864,0.32434192299842834,0.10150210559368134,0.25534048676490784,0.31859394907951355,10.235095024108887
model 86,Gaussian,3,0.0005,64,100,0.10172639042139053,0.25797152519226074,0.3189457356929779,0.09787431359291077,0.2495678812265396,0.3128487169742584,16.144786834716797
model 87,Gaussian,4,0.0005,64,100,0.10475622117519379,0.26186248660087585,0.323660671710968,0.10073142498731613,0.25353896617889404,0.31738215684890747,37.13342332839966
model 88,Gaussian,5,0.0005,64,100,0.1059567853808403,0.26290833950042725,0.32551002502441406,0.10239549726247787,0.25634679198265076,0.31999295949935913,86.30788445472717
model 89,Generalized Bell,2,0.0005,64,100,0.12158975750207901,0.2774558961391449,0.3486972153186798,0.12114863842725754,0.2763729393482208,0.348064124584198,10.7332444190979
model 90,Generalized Bell,3,0.0005,64,100,0.15118883550167084,0.3083028793334961,0.3888300955295563,0.14756637811660767,0.305092453956604,0.3841436803340912,17.576396942138672
model 91,Generalized Bell,4,0.0005,64,100,0.10699014365673065,0.26049095392227173,0.3270934820175171,0.10312231630086899,0.25384289026260376,0.32112663984298706,39.699865102767944
model 92,Generalized Bell,5,0.0005,64,100,0.1045789048075676,0.2604830861091614,0.32338660955429077,0.10235662013292313,0.25543802976608276,0.319932222366333,91.34055495262146
model 93,Smoothed Triangular,2,0.0005,64,100,0.11112922430038452,0.26926183700561523,0.333360493183136,0.10717885941267014,0.26101309061050415,0.32738181948661804,11.850074052810669
model 94,Smoothed Triangular,3,0.0005,64,100,17.25383186340332,3.9111945629119873,4.153773307800293,17.122413635253906,3.892397403717041,4.137923717498779,18.465824842453003
model 95,Smoothed Triangular,4,0.0005,64,100,2.5811219215393066,0.8059811592102051,1.6065870523452759,2.531270980834961,0.785390317440033,1.5909968614578247,41.20015859603882
model 96,Smoothed Triangular,5,0.0005,64,100,5.4695234298706055,1.7988682985305786,2.3387012481689453,5.4330854415893555,1.7943778038024902,2.3308980464935303,93.21701121330261
model 97,Gaussian,2,0.001,64,100,0.10531722754240036,0.26298847794532776,0.3245261609554291,0.10146408528089523,0.2550918459892273,0.3185342848300934,10.326054573059082
model 98,Gaussian,3,0.001,64,100,0.10027237236499786,0.25631284713745117,0.3166581392288208,0.09739366918802261,0.25016576051712036,0.3120795786380768,16.050612688064575
model 99,Gaussian,4,0.001,64,100,0.10059896111488342,0.2556017339229584,0.31717339158058167,0.09683674573898315,0.24605368077754974,0.3111860454082489,37.44883584976196
model 100,Gaussian,5,0.001,64,100,0.10090495645999908,0.2549862563610077,0.31765541434288025,0.09769045561552048,0.24806785583496094,0.3125547170639038,87.37614583969116
model 101,Generalized Bell,2,0.001,64,100,0.10039596259593964,0.2563973665237427,0.31685322523117065,0.09813237190246582,0.25284329056739807,0.31326088309288025,10.766948461532593
model 102,Generalized Bell,3,0.001,64,100,0.09906313568353653,0.25277504324913025,0.3147429823875427,0.0974869355559349,0.24844512343406677,0.3122289776802063,17.59033489227295
model 103,Generalized Bell,4,0.001,64,100,0.09945274889469147,0.2550249993801117,0.31536129117012024,0.09658131003379822,0.24843169748783112,0.3107753396034241,39.817392110824585
model 104,Generalized Bell,5,0.001,64,100,0.09673276543617249,0.2503788471221924,0.3110189139842987,0.094797782599926,0.24593476951122284,0.30789247155189514,91.48417925834656
model 105,Smoothed Triangular,2,0.001,64,100,11.539741516113281,2.5665547847747803,3.397019386291504,11.588790893554688,2.5857911109924316,3.404231309890747,11.749878406524658
model 106,Smoothed Triangular,3,0.001,64,100,7.105508804321289,2.621899127960205,2.665616035461426,7.011389255523682,2.6044907569885254,2.647902727127075,18.783008813858032
